tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,AW4jLzyT_xD3dsJl64tkHHqHCbmGR7m1IB1JLjciCf0JSHk,하하나야,691,388,342,False,False,True,False
CHALLENGER,YlcfsoViJY_RcE1OykK36eRwwZkX-dS3CN03xo3-3BgCcw,탑 혜지,755,1053,1008,False,False,True,False
CHALLENGER,gDT7EahewUM3ICOXTaaFUG-Lc8G6YM070M2tdWSQZ9Q2uJ0,jiandongjiuzuan,858,609,558,True,False,False,False
CHALLENGER,xYab9jxaai-xJYdzcIJRPCVayRL75bEf9HfBK35Icqppbys,motiongggggggggg,942,588,501,True,False,False,False
CHALLENGER,XPw4d14HEiRv2i183uJ40ALdruig5ulQyR5GyKtyME3dbfY,qiaqia,780,553,504,False,False,False,False
CHALLENGER,VP7hoqvcqDJ_lTd5ZBx1TvEgE2Ld7cWPN0Iss9vYdTdY3AI,Awe Dive,760,567,521,False,False,False,False
CHALLENGER,7HTkHlXBx7PrTs1tcESRYdfUJDC8VDZR0FyGqcexyqvHvMA,mogubaby,857,215,104,True,False,False,False
CHALLENGER,ZdB9JyVsXg3ag1W1OSKLQ4zy2tI_PQ7GnSD4wqAIOyG_7FU,Aprox,1051,245,180,True,False,False,False
CHALLENGER,-nKkbfGqc4wERvGNl1k1TRJa0QwWhPY8VxUUju2TDxGkBgc,주먹밥쿵야1,833,213,165,True,False,False,False
CHALLENGER,-PKiwe-QpYoN_SRhNC98nVWnd6Fw6u4YKB8_nYwzeNf4AIo,이탈리야 전문점,697,275,207,False,False,True,False
CHALLENGER,bAj7WrocvQRhuhVfREQNhNPUXYUoWrMP1qvaCiPu01uPCYw,huntiand1,1147,739,694,True,False,False,False
CHALLENGER,EWI4jkK_ZvjkqxmdOkIHsXjwL2XdLy2eFbAV1ulnCMaXAw,소나잔나,1215,198,133,True,False,False,False
CHALLENGER,kY9eN061gk6fe_FlE0XP7N9DjTOF1UO2U28IVVFKT6gj_KE,T1 Roamer,924,1030,977,True,False,False,False
CHALLENGER,nzgwqpnjLEYmmPlj6YG1awWH_AY3-8axk673qyHvNba5hE0,용호얍,1259,311,191,True,False,False,False
CHALLENGER,2YlMSpf5cpFIk3R8S3_xQL8Y0J6kxVbjhqmAext6t5BxDWE,백수넛,938,448,394,True,False,False,False
CHALLENGER,DVmeZPlLC8kupN1p7CYtODBDaMHSuGCF5VLIR85VtAL9eFg,MAKJANG,761,183,131,False,False,True,False
CHALLENGER,AWvLENmf6yJn4mBQeeun86OzUVPO-eDToiRX3L_vgjSbnR0,KzcXaz,1246,376,297,True,False,False,False
CHALLENGER,Dr5hdqJhAACFX9HW9Yle1yNAe26mASR4Ustu4xS7mPDfKGI,krats aira,897,303,255,True,False,False,True
CHALLENGER,O3wX-F5sSS1_ik3MWfBYj9EwolLnCAdN-nRNS3YnUskl60A,fabaju,717,664,642,False,False,False,False
CHALLENGER,dVNHvwsjczs_POBUUIRIcvGC-iwkAbQj2JuOISgaXTEjnDQ,T1 Cuzz,1117,326,268,True,False,False,True
CHALLENGER,z8JQyBC5bS6A772JI0g8AAkdLz2W7dil9JnfIHCZhag_7zI,Vlbra,746,300,270,True,False,False,False
CHALLENGER,MXmO6br11UXNmq3CdZRprDe0Gm7k77EaZ_xDRHu2CabiLvw,LOTILYX,695,289,246,True,False,False,False
CHALLENGER,f3fAbIuFzhp5QCMu1JFThRWiEQizuE2n8f9KfLAwL3lRzp4,xiao hong mao,852,569,413,True,False,False,True
CHALLENGER,2moShm0rvumIVhGe1dXZNSUIk0AJQ2JybSkCEQyAVpVPX6E,SANDBOX OnFleek,759,449,418,True,False,False,False
CHALLENGER,m6VVA_WJEE-mO7zuob7BuWhyTwbIqt-CDN_S8cwwyioI8w,SANDBOX GorillA,940,477,429,False,False,False,False
CHALLENGER,hNl3eeVj-oTzOPiHx4gdDcUhrWbCO_lpc483f7-WOkfFXLk,수금토토일민우,691,202,154,False,False,False,False
CHALLENGER,q91sHjSLeJM4y3hbdtmIqq8m0Ak4dKgys3G5JvF6VMaY9XM,tianming0,1053,498,376,True,False,False,False
CHALLENGER,ZphioqlBprQoY5ELv3P-sF8Q-yukOpJRBz8akde6vUk1ddY,AdadeHuanggou,769,635,525,False,False,False,False
CHALLENGER,LZI611goUobC_7C840va3xdq3tkIG6RLKZ60QTFg8ndBbQ,쪼렙이다말로하자,1148,769,702,True,False,False,False
CHALLENGER,kiBdVBUwqcerRSB3pb72ZLsY9n_6DXcFYbrhgrnWu_KT4js,JUGKlNG,1262,193,122,True,False,False,False
CHALLENGER,R4IFGG09eKJOwR-miIpAeL-56Pv_XArNPXcaSr9l92UJ0sg,종탁이,781,797,746,False,False,False,False
CHALLENGER,JtDpfLNfG5eH5JQ2G2qQsZ30mbeMo3raAaB9TWsRS0VcUNA,Pnpm,761,137,93,False,False,True,False
CHALLENGER,vEX-p781FQ2qnMFjRoFoMKZ0GqAs7d73TQoXSPI_9tdOgo8,T1 Gumayusi,1125,598,526,True,False,False,False
CHALLENGER,_OrYTs2khnCqgOEpi11NkMASXTRAyMWv5QtED9zu3hqBqaA,Till rapking,723,874,814,False,False,True,False
CHALLENGER,01NAuRuKSU9mCQrVW6r1c7xwtcwZR_wjfZB4ah-Yj-9twLE,Chieftain00,764,222,178,False,False,False,False
CHALLENGER,0vBMZwtzBnVXwU50tSgAgUeYEhbNO-80Sfjiy9n2UfyZHA,날뜩한 칼,713,233,204,False,False,True,True
CHALLENGER,6-MZeijXLuyBKPwhgAy-ygKalmPhfrwB9PwZpdcB-17M7c4,T1 Fisher,788,421,298,False,False,True,True
CHALLENGER,5XgBRIboJymDkNzK_u6OBdXNZ4NYpHLPEoYirf3HaWSmeJU,손연우 사랑해,901,252,190,True,False,False,False
CHALLENGER,Z9AEXuaL5yMNyFxh7E0x5xyCus0404THBzJjr7t-ZsSDi3M,베어 쓰러뜨리다,1030,613,534,True,False,False,False
CHALLENGER,mcWPxv9dSgQ78OEgcfbx-s3RwJVDqcIuGCIUU4sRba9FtLI,vdsqwqerx,934,395,335,True,False,False,False
CHALLENGER,zgbEc8lHyB9jSLovhkd503W4TpmbuVP91cIc7gfqmXP_Lw,메가 우기,744,280,242,False,False,False,False
CHALLENGER,DfdddaVpOZ3DrxKPKqbwNePyD16UYScPtQkIETAlqF4tGpY,T1 Berserker,766,643,638,False,False,True,False
CHALLENGER,5yhenMzLF57NtAbbt39tVJ8cC1p1JHJK_uxqSPdjSpaJyM0,HLE Viper,1161,396,325,True,False,False,False
CHALLENGER,KFTfHwofq8WmGVihjojnfqdjrqXCgQDze7hqzLZbU3M1W9Q,헤 돈,707,174,120,False,False,False,False
CHALLENGER,uwuwKGA2ZlhJzcmWz_lamPvdEhkLriGUx3CqOajHIfPtsPQ,캐 인,793,302,290,False,False,False,False
CHALLENGER,FSYgvsgbF7CH-P6VFVVi5WB_17Xch34dTT4ylruoiRUri8Q,xiny1,697,408,337,False,False,False,False
CHALLENGER,MXU8Ct4CAZA3IBBF-Elyk3a3OLph4Xn3hgJJjFKpt-Rl7Ss,승부욕xxx,999,685,575,True,False,False,False
CHALLENGER,tBUeEmNg1Tw6VIEwBpSKypU1YORTADluwZQVxDz7OX_SEQ0,타 잔,1223,397,327,True,False,False,False
CHALLENGER,Aaugul_2Vzksv14rdhvXWKc7V1ujFzfWOrkAFngxF1Ct6g,동해운수,815,401,353,False,False,False,False
CHALLENGER,1R0oPaqtBNBS3tTtxVyBqdSue1GHvNRD91uq-33vomNAJg,냐하준,700,572,472,False,False,True,False
CHALLENGER,7ypbwVTSHYSPgwH-Igi4rghrKwcPzCpmOUyqBbx_-v4rHiM,W13L34,848,367,310,True,False,False,False
CHALLENGER,k4FVXDOShWHRJfHhx2Jbv5WCM8cWkBv-rA8-hf9psggttIc,always confident,950,314,257,True,False,False,False
CHALLENGER,zbQZP3-2q627RkKVguTCfn7XKeBV5aFbj7sMEu3ef1uoSd0,T1 Kuri,947,758,708,True,False,False,False
CHALLENGER,NglxZS3AcrIIfa4AcOY84w8rXEsRIoOB6JqfcH_cuBfKGWw,진정한 쾌락,1036,724,666,True,False,False,True
CHALLENGER,IDZsjFjzIJFvSr5ml1bOHsgZ8lTGBQvzQaS01RlnO9-n3Rw,BLG ADD,698,128,87,False,False,True,False
CHALLENGER,N7skIaRPjZ0skRwKKvZDhXniBO8YQ3lGLie7rzDVlDUq_Pg,SANDBOX Serenity,871,314,275,True,False,False,False
CHALLENGER,l93q-0fp8ZKb7sj8EqtpptWRNVHjM_gD4rGqAX8-xnW4Awg,hyckrrwzsn,875,1098,1047,True,False,False,False
CHALLENGER,eVKRrjivOX02A6AsEtdErnxOjO4mE-f7RIHjcY706yVq0OU,DYN Kuzan1,1020,470,418,False,False,False,False
CHALLENGER,Q-HrQ-0UqTzE2QQuGoHjU3lN78LTFgQ0yQHGWQdRw-eNP54,Keine1,945,418,365,True,False,False,False
CHALLENGER,wbLptUw7fTq41Z5E8IvI_dyDb126Op-sGan8mnGFlhrpDQ,한화 큐베,864,699,659,True,False,False,False
CHALLENGER,Q94cZgeYovy7MZNFQiwi1O9xQ_eKZtMI8o8Ubxpbhhkx8XY,헤이스트에요,746,549,510,False,False,False,False
CHALLENGER,ucs1XdtzpjhRrdNZuC71zDycoI1p7S6DJg4U3bLVIbGmLUk,Gen G Kellin,849,319,274,True,False,False,False
CHALLENGER,jQUaF8FE1rvb6cfeOYLC6vt8rGCwZaKGrRbSYfXgv6cLEPI,zyzyzyzyzy,962,394,337,True,False,False,False
CHALLENGER,p2LJ3fMtH2TLnaYx9g7xXvPlF-OE1W1TIAUewCgHjH2avjo,tian xin bao bei,769,284,239,True,False,False,True
CHALLENGER,y6uSvJSqwJRQlMpAxHpdQ24WTitQiK8VjGUT0viYApnRLw,돌낳는남자,734,262,217,False,False,False,False
CHALLENGER,gz84sP0bIB0tf9CRxGW4YbgX894HAO7iDWDkoa-p57dSgR4,우싹씨,836,251,199,False,False,True,False
CHALLENGER,pbsJO2NlFfS5c17xzTnoTYFraQOCPsaypzSLSd4p7dXaOCw,feng ji xu chui,737,320,254,True,False,False,False
CHALLENGER,RM7LsvF25dA94ophkHIy5gEbFjJukTXxg_lc-cPDAqUCy-g,SANDBOX Dove,1070,455,407,True,False,False,False
CHALLENGER,j1SfaDQP3M2z-IIe4gajTxbp8Ep7nRv77Bix84LOPtOIuA,Axiyo,868,183,177,True,False,False,False
CHALLENGER,lwn3uMIJcPMxPtJYIZpEc2eZ1J8JA2qmnK7uVbszAqJyJpg,Mango Fish,1020,511,396,True,False,False,False
CHALLENGER,ciaju1E2mwiuuspfYTc8DJHznl-6InYWX7y-cGI90TI_x_A,HLE Mireu,782,701,644,True,False,False,False
CHALLENGER,ZZqWBxpEoYd0GoSbYKADdUxX5BPb8oAe0wfpJR2ZZSstyCU,퍼플팀 죠앤,821,161,104,False,False,False,False
CHALLENGER,8-wfEVAqnoZi44GfnnIhgVGRmY-Fcj8fbEhp5wfcHo35Bqg,시간은또금세흘러,1400,153,83,True,False,False,True
CHALLENGER,n1V-eIHAHlpGK7LLpvb0lB4S2bSviCNH8FxhA04iqRpO9kk,Dream go lpl,694,279,175,False,False,True,False
CHALLENGER,ppVwrNbrsftILKXWieWQATlStnMOEZNhbhNbMC0TxTNkOkR1,wen shen z,690,441,343,False,False,True,False
CHALLENGER,DAS9sx2zpehYLQnc-h9MJI-xK58r-eTmcf9WaSGthv-KnIo,5Kld,828,172,115,False,False,False,False
CHALLENGER,Pwo14RPHunvUsLwXEyop6lQ4arH5QSe1rHSxgNTZMT9herw,quadzz,842,118,70,False,False,False,False
