tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,7fInrf42xiG-5RoY84OUl1FztBeF4MFJAVKb5DF5p6fcmQ,묻어가는존재,435,522,456,False,False,True,True
GRANDMASTER,YawiZQ7upSbpb7xJM5p5W5o88uOwBN-c4yFV4u2EAR0jRjY,갱붕이,365,359,313,True,False,False,False
GRANDMASTER,S28lXq5eqjZxfvd2u68Y68OzW2pWMbMzHHcfNIkGjC6v_G8,feijizhadan,561,740,729,False,False,False,False
GRANDMASTER,wt_JQSglsuCIoy44V848btYhxHNG87tSoJITvc_YISZtbx8,AF MapSSi,449,440,410,True,False,False,False
GRANDMASTER,N2zCbvDGqmcpq9rt6dPfFVz2NiNk27cJrnBsycL9MlpmQlI,코코오빠 o,500,780,737,False,False,False,True
GRANDMASTER,JX1TGt3cTCfOuDV00kfE0J4uc8gSGWZnV3snzXmkIEarxgc,20170520ToT,322,725,727,True,False,False,False
GRANDMASTER,RLShx2Db29MVUSU12P80Owovn1CWv4uxJTND8KfU-IyBvls,돼지감자카레누누,419,304,270,False,False,False,False
GRANDMASTER,cCzuZIDvvKTFBvibj16P5O78cNaBOQ36bXfg1-nxRiYZeSM,rltjs,653,266,230,False,False,False,False
GRANDMASTER,Xe63wxcB0T_5qIQHB0xZmTOTJjqoWOg3p5e5UNSxD4BbQDQ,윤용호,537,166,126,False,False,False,False
GRANDMASTER,8CyjEKRjzvYp9xZSdUdLXc03VtbUkPP14DSEsHUewNAZ7xk,baibaishizhu,514,430,398,True,False,False,False
GRANDMASTER,UKpl4d61G_GCgr-vB0ERKJC6e5kbX7BNT45zQkITBBrhtQ,말걸지마라제발요,346,237,202,False,False,True,False
GRANDMASTER,UYg1Jor4oNETPnLmCPGFCF67_nNg4MjhrdH4Hhi1u8ZPCjo,BRB Tool,334,213,165,False,False,False,False
GRANDMASTER,p6yv1Sgf_kPj0rB3sbaz41fY7ghhB8T1PtyXF4HU38xKMIQ,아무도날몰라보길,390,987,969,True,False,False,False
GRANDMASTER,TVcMMz_M657dd4lRD30dxWicaDdNnZC3ypUZRF4cq7OSMEI,Memor1a,412,483,442,False,False,False,True
GRANDMASTER,8zQ8lU2kiCEqtjC5rt0Xs3sd2mHHJfG4K8YHmZlkofzTdWM,우붕이2,604,323,272,False,False,False,False
GRANDMASTER,1JniKcuzPIcNTLSZEaPz-QHZpN74J_YKgY8DlvncoHLmTpg,IAKIL,609,1111,1048,False,False,True,False
GRANDMASTER,wc8T3HJP_IwDBH6UpLfVDCC1idS02uIGJNpq5NbE--0Q7qU,춘봉박투신,586,168,117,False,False,False,False
GRANDMASTER,OA6VJPg_bwHrGU1h9GvcY1OPlZda1NSj4-eI-UjDxQZNUA0,hf ghkyu2,642,444,404,True,False,False,False
GRANDMASTER,w2SIerxg7sBUU9JDgXGk8mrUtP6WnwZTypuVP8ntqv85xGM,Felix It S,425,224,184,False,False,True,True
GRANDMASTER,F-Kz13KSYRyz4Cc4x--kgerVJUWTSQ1waFXFTw-5uGnRIHo,협곡의개,401,159,112,False,False,True,True
GRANDMASTER,45EmCZQbsxTtLV73A-m4tFOHR4qjlhqKEVzjxzrkNfmvjkw,ca1hongdao,504,888,780,False,False,True,False
GRANDMASTER,wCpSKJfaNA5k9pGtrodd0XC4aJLQ3-K6aWRobw3DWSELyQM,Gen G Lospa,410,227,191,True,False,False,False
GRANDMASTER,dySPotTQUJDd5CZQKhL1mv6dPPB8vkmkA84u1WHulSN_BxE,쪼꼬맹이 딸기,470,371,341,False,False,False,False
GRANDMASTER,_AUneDDfYre8lKeOwgNeT_OvHmahK1kDKU6VOpzrjtMoi6U,갈아서만든배,411,496,456,False,False,False,True
GRANDMASTER,CvOk1O-yAypo9jtqJV3l2ODyoriozVqOWWJQ6qzc3_xOcPE,zjzjzjzj,392,666,634,False,False,False,False
GRANDMASTER,CRSJ4yEBDYk80RLZlRmsfw0a88Em-5whSdp1S_wi0eLlQek,간다라쿤다,600,792,738,False,False,True,False
GRANDMASTER,Zw8-P24LXhU2Lpkez2VNyhBNXt6N-og8qgirKwxxZOjBpQ,ShrimpVicious,343,584,549,False,False,True,True
GRANDMASTER,NAyrzfq9k91qHkeNm_B_miN53xqVEIuPWCgUVllm2vkqdd8,와드 드세여,472,525,491,True,False,False,True
GRANDMASTER,PM6KHzXsYLoVC4CFUK2AkGbgeKd2GZxJbmh-XZhaYzZqBFk,텐텐이,560,443,447,True,False,False,False
GRANDMASTER,kT4GqoV9hXLF3koEJlbANuVfFUcDSgXNk7d9IHHjE2cHPwk,생각하고집중하기,567,700,651,False,False,True,False
GRANDMASTER,tHya6m1bl0opVOTncgkUcPZ4Vdc1770oJ-mhQJlDzgz89ZQ,탸 릭,551,338,299,True,False,False,False
GRANDMASTER,7SpvxgHRYgqc8GXlj-7E84dqOkXm5Q3zu7K7IDCkvRAqMnU,Wubalubadubdub,568,659,618,False,False,False,False
GRANDMASTER,rBRftR2AfFRB_ziaUA-YTbPIV5Ebtw_WaVjYTOGXB-O-S9M,김떡순,349,358,321,False,False,False,False
GRANDMASTER,whJSVTbfr2ekIT8SZM6248Vp2kdq2XxkAjOk0b8jwR7_gG8,Gen G gyuvee,437,1073,1070,False,False,True,False
GRANDMASTER,4PFNXL6W2tF5KW2Lj0K3NEHOKN1ySbGEwX0hpAnS7rW9nA,뜽우얌,351,188,156,False,False,False,False
GRANDMASTER,XyK84-eRT3Zbq3RSHXS3iyF0LbDky4AOUeIXZ6nn2O3xs1c,lu ming zhe,512,346,275,False,False,False,False
GRANDMASTER,ZixN5QyG_KOq6eILC_FnN1Y4vxY8Ih3O1rmENs7pFZYZcqQ,me sb T0P,398,654,623,False,False,True,False
GRANDMASTER,qAvszVnXJW0M5d2ZWigsK00dHVbaNOp51G7gp0hHx6uoVM0,소년가장 원딜,643,328,216,False,False,True,False
GRANDMASTER,L38BTQNea6caPJibJ_rzwyH46l0C1Irik7-kqLCXe0iLh-A,Excuse,329,334,312,False,False,False,False
GRANDMASTER,2CsK3bO5rRcaDCm-g2YHALx4aH8uBoMpLJDC7-tr2oKBwVI,이 영 봉 의 건달,549,545,471,True,False,False,False
GRANDMASTER,0--8e3t-jrA5AY4OZFcfyXhxhg6iLo4-x6xk3g_7apgOIXA,깨물이 드래곤,508,271,233,False,False,False,False
GRANDMASTER,cBRl-2wj4NAHOMZZDg7MkgEzY4CqVooX0EckFzEvugmxI84,피즈 조잉,420,259,181,False,False,False,False
GRANDMASTER,flTX3KPbln5khrTaqsa9g10ZBfJHp596HxYVfisyXLW5X1s,QyO,617,164,122,False,False,False,True
GRANDMASTER,x_VEA5XkXpGNPEFxnUXmvzGwsOio8cvHgCd7z7hcaMKyt0A,HUYATV Jin,319,558,529,False,False,False,False
GRANDMASTER,1bh1N9Er-94JDUyNagzlNhxEpOoyR3quo2O8P17VShKsUTU,c1c1c1c1c11,331,1047,1061,False,False,False,True
GRANDMASTER,z_x1ShQ7Qxnb5WMq-uY8OhBkBn40BoSaweDQgEDwJp_MRwU,포식자,314,434,397,False,False,False,False
GRANDMASTER,knZIjnCR0IQdrpySQl9sMkZv2CmPQCj4YMF80wIYuMN-TMc,suyin,405,576,496,False,False,False,False
GRANDMASTER,n4fP60ebNhXLHPK7XV9PAtlt64DbloGwWja2fzQ7GRmnfWk,Summerends,456,719,701,False,False,False,False
GRANDMASTER,_tv11m3kmqbJX0Y3B9Iq58XYNWRCt4SkhEGJPPU2WCUL9-M,하 멘탈이 터진다,360,532,506,True,False,False,False
GRANDMASTER,Y4CiUUO9fdhUENrZKZp8gGgRREH8JsPorPyN-VX0KBdM-po,괴해신살권,560,476,427,False,False,False,False
GRANDMASTER,dXkrapvlBn6SoDsyJKvoXpAslBhVs_87g6rGfaoR2IkdSxE,참고 견디는 사람,359,577,580,False,False,False,False
GRANDMASTER,bqRPnXtTckX3bVQmvxmtjc_pjpNZ9jy38aUQapJH7noKCCk,fan qie guo,366,635,586,True,False,False,False
GRANDMASTER,c7lyOv61pjLXe-lmTsJBH8J644avGt5nEXFwDldEinjCHCA,xiaomochuji,500,513,405,True,False,False,False
GRANDMASTER,aeNXVxBuMBI6VCTZZetsZTxWxPHHNk0WENuS5l6zs_5Bp04,별로임 서폿 FA,692,382,363,False,False,True,True
GRANDMASTER,BwMp757p_rbnjb2mCBiAH6KQbxRWf6_Bswea6hTdImDBrdQ,군밤군밤,323,98,66,False,False,True,True
GRANDMASTER,2qzpZg9PhbIC-MnIWxZl2MpteTXZbnUHCNUNlxXAKff2hFg,하루20게임,433,825,804,True,False,False,False
GRANDMASTER,C99xEVJk02_l6EXinEB0DYh5oKrPmqdRdC_IRzzq2lY9J70,Miss you around,652,744,655,True,False,False,False
GRANDMASTER,OPZr8-dpOcNsmGvyl2j2qdhC4C_HFaYuvwuaT_5itcKrrlw,킹오브듀얼리스트,333,264,234,False,False,True,False
GRANDMASTER,JhyTA-Q9yj9O8of8r-GXokImEkkazMlkUpqgVbiIgncpJj4,덮밥9,446,840,814,True,False,False,False
GRANDMASTER,j-Fe5vDG0d-0XL7tWh9nDJtVVgtQjO2X3b-3E13F39uRkeU,heeseong,428,123,85,False,False,False,True
GRANDMASTER,NHyYMs6SHlDvhBnH7T2_OyjTymQKc7g7H55YCe-G0AM2lQ,꿈을찾는사나이,485,140,108,False,False,False,False
GRANDMASTER,kmm7Ri4DIjQV4x2Tgzg3yhVUQblinqeRhehgeiuo4PHghxk,정중한 야만인,409,129,157,False,False,False,False
